slug,vehicle_no,loading_out_time,unloading_in_time,origin,destination,consigner_code
CT4PFU00,HR55L7860,2020-07-13 23:08:22,2020-07-13 23:43:52,SAHIBABAD,Mundka,BHUSHAN
CTAQFU00,MH40BG8913,2020-07-15 11:08:28,2020-07-17 19:07:02,MERAMANDALI,NAGPUR MAUZA,BHUSHAN
CT1RFU00,NL01AA3471,2020-07-16 02:22:59,2020-07-23 02:16:17,MERAMANDALI,Aluva,BHUSHAN
CTVVFU00,NL01L0599,2020-07-16 01:36:47,2020-07-20 21:50:27,MERAMANDALI,"PULLUVAZHY, ERNAKULAM",BHUSHAN
CTWVFU00,NL01Q6789,2020-07-16 01:29:19,2020-07-20 21:51:19,MERAMANDALI,"PULLUVAZHY, ERNAKULAM",BHUSHAN
CTXVFU00,NL01AA9849,2020-07-15 16:52:16,2020-07-20 07:32:33,MERAMANDALI,COIMBATORE,BHUSHAN
CT4XFU00,RJ02GB3097,2020-07-15 04:36:48,2020-07-20 11:51:33,MERAMANDALI,PILKHUWA,BHUSHAN
CTEYFU00,OD04K6015,2020-07-15 17:14:29,2020-07-21 10:21:24,MERAMANDALI,COIMBATORE,BHUSHAN
CT5ZFU00,OD04K4367,2020-07-15 20:44:27,2020-07-21 13:09:24,MERAMANDALI,KERALA PALA,BHUSHAN
CTOZFU00,RJ19GD3499,2020-07-16 07:55:50,2020-07-18 10:05:49,MERAMANDALI,NAGPUR MAUZA,BHUSHAN
CTH2GU00,MH46AF1191,2020-07-16 10:36:00,2020-07-21 04:16:08,KHAPOLI,CHENNAI,BHUSHAN
CTA3GU00,HR55V7133,2020-07-15 03:53:44,2020-07-15 05:18:41,SAHIBABAD,GREATER NOIDA,BHUSHAN
CTB3GU00,HR46C6165,2020-07-14 22:48:12,2020-07-15 00:13:09,SAHIBABAD,Ghaziabad,BHUSHAN
CTT3GU00,HR38Y7293,2020-07-15 23:51:34,2020-07-16 03:14:46,SAHIBABAD,JHAJJAR,BHUSHAN
CTV3GU00,HR38S9490,2020-07-16 00:06:09,2020-07-16 03:33:57,SAHIBABAD,JHAJJAR,BHUSHAN
CT54GU00,HR38W3570,2020-07-15 03:11:11,2020-07-15 04:02:15,SAHIBABAD,FARIDABAD,BHUSHAN
CT94GU00,HR55AH7609,2020-07-15 04:04:04,2020-07-15 04:52:14,SAHIBABAD,Delhi,BHUSHAN
CTL4GU00,HR55V0493,2020-07-15 15:23:19,2020-07-15 15:43:18,SAHIBABAD,Ghaziabad,BHUSHAN
CTE5GU00,HR38R1152,2020-07-16 01:19:32,2020-07-16 01:28:43,SAHIBABAD,DELHI,BHUSHAN
CTI5GU00,NL01AE2969,2020-07-16 20:24:12,2020-07-20 05:40:45,MERAMANDALI,HYDERABAD,BHUSHAN
CTB9GU00,NL01AC8309,2020-07-15 11:36:41,2020-07-20 08:00:54,MERAMANDALI,ANJAR,BHUSHAN
CTCHGU00,RJ19GE5199,2020-07-15 17:06:54,2020-07-18 08:18:20,MERAMANDALI,PITHAMPUR,BHUSHAN
CTKIGU00,RJ04GA5437,2020-07-15 17:07:05,2020-07-18 12:42:35,MERAMANDALI,PITHAMPUR,BHUSHAN
CT7RGU00,RJ02GB8125,2020-07-15 17:20:47,2020-07-19 22:03:13,MERAMANDALI,HYDERABAD,BHUSHAN
CT1VGU00,HR38W7555,2020-07-16 00:36:32,2020-07-16 05:35:06,SAHIBABAD,GREATER NOIDA,BHUSHAN
CTAWGU00,UP17AT7561,2020-07-15 23:23:00,2020-07-16 00:23:03,SAHIBABAD,Delhi,BHUSHAN
CTHWGU00,HR38X6659,2020-07-16 00:38:15,2020-07-16 23:14:25,SAHIBABAD,MOHALI,BHUSHAN
CT0YGU00,HR38R7507,2020-07-16 00:11:40,2020-07-16 04:36:01,SAHIBABAD,GREATER NOIDA,BHUSHAN
CTQYGU00,HR55V7133,2020-07-15 03:53:44,2020-07-15 05:18:41,SAHIBABAD,GREATER NOIDA,BHUSHAN
CTG0HU00,RJ04GB7137,2020-07-15 20:20:06,2020-07-18 20:58:43,MERAMANDALI,KHOPOLI,BHUSHAN
CTO1HU00,MH43BG8259,2020-07-16 11:05:34,2020-07-17 19:12:39,KHAPOLI,JNP,BHUSHAN
CT42HU00,NL01AB3976,2020-07-16 07:20:20,2020-07-21 12:54:18,SAHIBABAD,CUTTACK,BHUSHAN
CT67HU00,UP81AF2855,2020-07-16 00:38:27,2020-07-17 05:28:00,SAHIBABAD,SAHARANPUR,BHUSHAN
CT8AHU00,HR38W3570,2020-07-15 21:10:28,2020-07-16 03:47:08,SAHIBABAD,DELHI,BHUSHAN
CTECHU00,MH46AR2775,2020-07-16 09:19:53,2020-07-16 09:40:53,KHAPOLI,KHOPOLI DHEKU,BHUSHAN
CTIGHU00,HR38W5054,2020-07-16 09:50:11,2020-07-16 10:32:10,SAHIBABAD,SURAJPUR,BHUSHAN
CTWJHU00,HR61C3814,2020-07-15 23:27:58,2020-07-16 19:26:57,SAHIBABAD,ROHTAK,BHUSHAN
CTZJHU00,PB08DG9977,2020-07-15 22:38:35,2020-07-19 07:04:11,SAHIBABAD,BARODA,BHUSHAN
CTMKHU00,RJ02GB3534,2020-07-15 23:30:31,2020-07-21 10:40:26,MERAMANDALI,PILKHUWA,BHUSHAN
CTZKHU00,MH06AQ4969,2020-07-16 12:39:22,2020-07-16 15:29:47,KHAPOLI,PUNE (CHAKAN),BHUSHAN
CTFNHU00,UP14ET7230,2020-07-16 11:48:18,2020-07-16 14:53:19,SAHIBABAD,BALLABHGARH,BHUSHAN
CTCVHU00,HR55S4464,2020-07-16 02:08:10,2020-07-16 02:57:49,SAHIBABAD,NEW DELHI,BHUSHAN
CTEVHU00,RJ04GB6547,2020-07-16 01:46:22,2020-07-19 21:17:22,MERAMANDALI,KHOPOLI,BHUSHAN
CT1WHU00,OD04K6011,2020-07-16 02:20:21,2020-07-21 06:51:24,MERAMANDALI,KHOPOLI,BHUSHAN
CT3WHU00,RJ02GB7944,2020-07-16 01:30:08,2020-07-20 10:27:09,MERAMANDALI,PILKHUWA,BHUSHAN
CTAYHU00,NL01L9079,2020-07-16 08:01:44,2020-07-19 11:56:44,MERAMANDALI,HYDERABAD,BHUSHAN
CTBYHU00,NL01AC9249,2020-07-16 08:08:29,2020-07-19 08:40:57,MERAMANDALI,HYDERABAD,BHUSHAN
CTKBIU00,RJ04GA6527,2020-07-16 15:26:58,2020-07-18 14:01:35,MERAMANDALI,NAGPUR MAUZA,BHUSHAN
CTQBIU00,UP16AT8123,2020-07-16 04:03:57,2020-07-16 05:50:08,SAHIBABAD,GHAZIABAD,BHUSHAN
CTDCIU00,PB65P3369,2020-07-16 09:19:44,2020-07-18 04:30:30,SAHIBABAD,Jalandhar,BHUSHAN
CTGCIU00,PB08DG9977,2020-07-16 10:07:45,2020-07-19 07:04:11,SAHIBABAD,BARODA,BHUSHAN
CTQCIU00,HR38AA2393,2020-07-16 07:03:17,2020-07-16 12:43:17,SAHIBABAD,GURGAON,BHUSHAN
CTSOIU00,MH06AC8266,2020-07-16 15:00:41,2020-07-17 14:57:31,KHAPOLI,JNP,BHUSHAN
CT0QIU00,MH06AC9685,2020-07-17 22:02:29,2020-07-18 10:47:39,KHAPOLI,JNP,BHUSHAN
CT4QIU00,MH06AC8263,2020-07-16 15:38:05,2020-07-18 10:58:47,KHAPOLI,JNP,BHUSHAN
CTCRIU00,RJ04GA7628,2020-07-17 08:16:15,2020-07-20 11:52:58,MERAMANDALI,TALOJA,BHUSHAN
CT41JU00,HR55R4782,2020-07-16 23:23:06,2020-07-16 23:56:48,SAHIBABAD,Ghaziabad,BHUSHAN
CT61JU00,HR38R1152,2020-07-16 22:58:54,2020-07-17 00:09:36,SAHIBABAD,NEW DELHI,BHUSHAN
CT92JU00,HR38Y8193,2020-07-16 15:50:57,2020-07-17 12:36:38,SAHIBABAD,JHAJJAR,BHUSHAN
CTM2JU00,NL01K7260,2020-07-16 19:06:35,2020-07-18 04:48:16,KHAPOLI,JNP,BHUSHAN
CTP2JU00,HR55L7860,2020-07-16 13:21:35,2020-07-17 21:08:16,SAHIBABAD,NEW DELHI,BHUSHAN
CT64JU00,RJ04GB1046,2020-07-17 12:24:48,2020-07-19 22:06:10,MERAMANDALI,NAGPUR MAUZA,BHUSHAN
CTL7JU00,HR38X0506,2020-07-16 20:53:42,2020-07-19 04:52:20,SAHIBABAD,SRINAGAR,BHUSHAN
CTR7JU00,UP14ET7231,2020-07-17 22:32:07,2020-07-18 08:37:07,SAHIBABAD,MANESAR,BHUSHAN
CTV7JU00,HR55V7133,2020-07-16 23:27:08,2020-07-17 11:12:28,SAHIBABAD,NOIDA,BHUSHAN
CTS8JU00,RJ02GB4339,2020-07-16 22:10:45,2020-07-21 05:53:55,MERAMANDALI,PILKHUWA,BHUSHAN
CTR9JU00,MH06AQ4256,2020-07-16 21:26:12,2020-07-18 10:57:42,KHAPOLI,JNP,BHUSHAN
CTABJU00,RJ02GB2035,2020-07-17 02:37:27,2020-07-22 04:04:58,MERAMANDALI,PILKHUWA,BHUSHAN
CTMCJU00,MH46F4737,2020-07-17 00:56:23,2020-07-17 16:00:14,KHAPOLI,PUNE,BHUSHAN
CTSCJU00,MH46BM2816,2020-07-17 03:10:11,2020-07-17 09:29:54,KHAPOLI,NASHIK AMBAD,BHUSHAN
CTZGJU00,RJ02GB4131,2020-07-17 05:16:08,2020-07-19 10:06:33,MERAMANDALI,Patna,BHUSHAN
CTOHJU00,RJ19GF3543,2020-07-17 04:14:36,2020-07-20 22:58:36,MERAMANDALI,KHOPOLI,BHUSHAN
CT4OJU00,OD04K4330,2020-07-18 07:51:11,2020-07-23 08:05:23,MERAMANDALI,KHOPOLI,BHUSHAN
CTSPJU00,RJ02GB2863,2020-07-17 03:56:44,2020-07-22 07:13:41,MERAMANDALI,PILKHUWA,BHUSHAN
CT1QJU00,RJ02GB6556,2020-07-17 04:00:33,2020-07-21 11:07:23,MERAMANDALI,DERABASSI,BHUSHAN
CTBQJU00,HR38R7507,2020-07-17 04:46:35,2020-07-17 05:14:06,SAHIBABAD,SURAJPUR,BHUSHAN
CTIYJU00,UP16AT8123,2020-07-17 15:02:52,2020-07-18 06:33:05,SAHIBABAD,GREATER NOIDA,BHUSHAN
CTJYJU00,HR38R1251,2020-07-18 01:16:19,2020-07-18 04:32:11,SAHIBABAD,JHAJJAR,BHUSHAN
CTNYJU00,RJ19GF2922,2020-07-17 12:06:08,2020-07-19 06:06:52,MERAMANDALI,RAIPUR,BHUSHAN
CT8ZJU00,RJ19GE7946,2020-07-17 08:02:27,2020-07-22 09:26:27,MERAMANDALI,KHOPOLI,BHUSHAN
CTCZJU00,MH46AR2775,2020-07-18 02:27:13,2020-07-18 04:46:38,KHAPOLI,PUNE PIMPRI,BHUSHAN
CTO1KU00,RJ02GB1985,2020-07-17 04:47:15,2020-07-22 09:33:11,MERAMANDALI,PILKHUWA,BHUSHAN
CT02KU00,RJ02GB2910,2020-07-17 07:57:06,2020-07-22 07:35:43,MERAMANDALI,PILKHUWA,BHUSHAN
CTI2KU00,RJ04GA6359,2020-07-17 04:33:19,2020-07-22 08:31:36,MERAMANDALI,KHOPOLI,BHUSHAN
CTT3KU00,OD04K3542,2020-07-17 15:17:11,2020-07-23 07:44:24,MERAMANDALI,COIMBATORE,BHUSHAN
CT14KU00,HR55AH5901,2020-07-17 17:01:47,2020-07-18 02:22:06,SAHIBABAD,Mundka,BHUSHAN
CTS5KU00,RJ09GB9414,2020-07-18 16:53:05,2020-07-23 09:33:38,MERAMANDALI,PILKHUWA,BHUSHAN
CTR7KU00,UP17AT3680,2020-07-17 15:54:24,2020-07-21 23:31:00,SAHIBABAD,HOWRAH,BHUSHAN
CTJ8KU00,OD19N9649,2020-07-17 23:47:15,2020-07-18 07:28:41,MERAMANDALI,PAR,BHUSHAN
CT09KU00,HR38R1152,2020-07-17 15:47:52,2020-07-17 21:19:27,SAHIBABAD,Mundka,BHUSHAN
CTY9KU00,RJ02GB4288,2020-07-17 13:09:52,2020-07-22 09:33:10,MERAMANDALI,PILKHUWA,BHUSHAN
CTZ9KU00,RJ09GB9415,2020-07-18 09:08:59,2020-07-23 09:32:43,MERAMANDALI,PILKHUWA,BHUSHAN
CT2AKU00,RJ04GB6070,2020-07-17 16:30:15,2020-07-21 01:14:50,MERAMANDALI,KHOPOLI,BHUSHAN
CT3AKU00,RJ05GB1710,2020-07-17 14:12:07,2020-07-22 04:05:53,MERAMANDALI,PILKHUWA,BHUSHAN
CTJFKU00,NL01AB2209,2020-07-18 10:16:21,2020-07-22 15:22:46,MERAMANDALI,PILKHUWA,BHUSHAN
CT4GKU00,NL01L9859,2020-07-17 20:23:44,2020-07-22 14:41:03,MERAMANDALI,KERALA PALA,BHUSHAN
CTGQKU00,RJ02GB1192,2020-07-18 10:21:17,2020-07-22 06:40:09,MERAMANDALI,Kanpur,BHUSHAN
CT4RKU00,MH40AK5370,2020-07-18 22:31:55,2020-07-21 00:18:09,KHAPOLI,KALMESHWAR,BHUSHAN
CTKSKU00,RJ02GB2164,2020-07-18 10:27:11,2020-07-20 12:50:46,MERAMANDALI,SECUNDERABAD,BHUSHAN
CTAXKU00,RJ02GB5948,2020-07-18 10:27:54,2020-07-20 12:51:56,MERAMANDALI,SECUNDERABAD,BHUSHAN
CTOXKU00,HR38X4603,2020-07-17 22:37:43,2020-07-18 10:13:53,SAHIBABAD,MOHALI,BHUSHAN
CTBZKU00,MH40BG8854,2020-07-18 20:25:57,2020-07-20 23:56:39,KHAPOLI,KALMESHWAR,BHUSHAN
CTK0LU00,HR38X9118,2020-07-18 00:16:40,2020-07-18 01:02:06,SAHIBABAD,Delhi,BHUSHAN
CT61LU00,MH06AC9684,2020-07-18 15:22:44,2020-07-19 10:31:06,KHAPOLI,JNP,BHUSHAN
CTP2LU00,HR38R1249,2020-07-17 14:34:21,2020-07-18 12:02:21,SAHIBABAD,JHAJJAR,BHUSHAN
CT23LU00,RJ19GF4499,2020-07-18 04:33:59,2020-07-20 06:45:47,MERAMANDALI,NAGPUR MAUZA,BHUSHAN
CTO3LU00,HR55S4464,2020-07-18 14:43:52,2020-07-18 15:06:59,SAHIBABAD,Ghaziabad,BHUSHAN
CT24LU00,HR38R1067,2020-07-19 04:09:13,2020-07-19 13:19:22,SAHIBABAD,JHAJJAR,BHUSHAN
CT35LU00,PB11AT8465,2020-07-18 09:12:33,2020-07-20 08:11:02,SAHIBABAD,LUDHIANA,BHUSHAN
CTP8LU00,UP71AT0558,2020-07-18 04:01:15,2020-07-18 07:11:37,SAHIBABAD,JHAJJAR,BHUSHAN
CTGBLU00,NL01L9989,2020-07-18 07:43:19,2020-07-22 07:20:19,MERAMANDALI,HYDERABAD,BHUSHAN
CTDCLU00,PB65P3369,2020-07-16 09:19:44,2020-07-18 04:30:30,SAHIBABAD,Jalandhar,BHUSHAN
CTHDLU00,HR38X9118,2020-07-18 00:16:40,2020-07-18 01:02:06,SAHIBABAD,Delhi,BHUSHAN
CTLDLU00,NL01AB3976,2020-07-16 07:20:20,2020-07-21 12:54:18,SAHIBABAD,CUTTACK,BHUSHAN
CTBELU00,HR55V7133,2020-07-16 23:27:08,2020-07-17 11:12:28,SAHIBABAD,NOIDA,BHUSHAN
CTHELU00,HR38W3190,2020-07-11 22:12:37,2020-07-13 01:05:26,SAHIBABAD,Kanpur,BHUSHAN
CTKELU00,HR55V4682,2020-07-14 03:32:28,2020-07-15 04:03:39,SAHIBABAD,HARIDWAR,BHUSHAN
CTVELU00,UP17T9893,2020-07-08 06:56:58,2020-07-10 05:05:26,SAHIBABAD,Kanpur,BHUSHAN
CTZELU00,HR38X0506,2020-07-16 20:53:42,2020-07-19 04:52:20,SAHIBABAD,SRINAGAR,BHUSHAN
CT5FLU00,HR38X4603,2020-07-17 22:37:43,2020-07-18 10:13:53,SAHIBABAD,MOHALI,BHUSHAN
CT6FLU00,HR38R1152,2020-07-16 22:58:54,2020-07-17 00:09:36,SAHIBABAD,NEW DELHI,BHUSHAN
CT9FLU00,HR38X6659,2020-07-16 00:38:15,2020-07-16 23:14:25,SAHIBABAD,MOHALI,BHUSHAN
CTBFLU00,HR38X0506,2020-07-08 14:30:42,2020-07-09 01:52:28,SAHIBABAD,MOHALI,BHUSHAN
CTLFLU00,HR38R1073,2020-07-13 02:38:06,2020-07-13 04:26:17,SAHIBABAD,SAMPLA,BHUSHAN
CTOFLU00,HR55L7860,2020-07-16 13:21:35,2020-07-17 21:08:16,SAHIBABAD,NEW DELHI,BHUSHAN
CTVFLU00,HR38R1152,2020-07-17 15:47:52,2020-07-17 21:19:27,SAHIBABAD,Mundka,BHUSHAN
CTWFLU00,HR38R1249,2020-07-17 14:34:21,2020-07-18 12:02:21,SAHIBABAD,JHAJJAR,BHUSHAN
CT0GLU00,HR38R1251,2020-07-18 01:16:19,2020-07-18 04:32:11,SAHIBABAD,JHAJJAR,BHUSHAN
CT2GLU00,HR61C3814,2020-07-15 23:27:58,2020-07-16 19:26:57,SAHIBABAD,ROHTAK,BHUSHAN
CTGGLU00,HR38AA2393,2020-07-16 07:03:17,2020-07-16 12:43:17,SAHIBABAD,GURGAON,BHUSHAN
CTIGLU00,HR55P7694,2020-07-17 17:19:39,2020-07-18 04:12:06,SAHIBABAD,Mundka,BHUSHAN
CTMGLU00,HR38X2421,2020-07-18 01:36:34,2020-07-18 01:52:06,SAHIBABAD,GHAZIABAD,BHUSHAN
CTWGLU00,HR38R1243,2020-07-13 15:39:14,2020-07-14 06:41:46,SAHIBABAD,REWARI,BHUSHAN
CT3HLU00,HR55S4464,2020-07-16 02:08:10,2020-07-16 02:57:49,SAHIBABAD,NEW DELHI,BHUSHAN
CT5HLU00,HR55L7205,2020-07-16 01:32:43,2020-07-16 02:22:58,SAHIBABAD,NEW DELHI,BHUSHAN
CTCHLU00,HR55M1515,2020-07-17 16:11:59,2020-07-18 05:11:15,SAHIBABAD,NEW DELHI,BHUSHAN
CTIHLU00,HR55AH5901,2020-07-17 17:01:47,2020-07-18 02:22:06,SAHIBABAD,Mundka,BHUSHAN
CTRHLU00,HR55M1515,2020-07-11 03:17:29,2020-07-11 04:02:31,SAHIBABAD,NEW DELHI,BHUSHAN
CTSHLU00,UP17AT7561,2020-07-15 23:23:00,2020-07-16 00:23:03,SAHIBABAD,Delhi,BHUSHAN
CTUHLU00,HR55AH7609,2020-07-13 03:22:08,2020-07-13 22:32:39,SAHIBABAD,Delhi,BHUSHAN
CT3ILU00,HR55AH7609,2020-07-11 23:23:17,2020-07-12 04:22:44,SAHIBABAD,Delhi,BHUSHAN
CT4ILU00,UP17AT7560,2020-07-12 03:38:06,2020-07-12 04:22:40,SAHIBABAD,Delhi,BHUSHAN
CT5ILU00,UP17AT7561,2020-07-12 03:37:56,2020-07-12 04:22:50,SAHIBABAD,Delhi,BHUSHAN
CT6LLU00,HR55N9822,2020-07-12 04:38:05,2020-07-12 05:17:46,SAHIBABAD,Ghaziabad,BHUSHAN
CTNLLU00,HR55R4782,2020-07-16 23:23:06,2020-07-16 23:56:48,SAHIBABAD,Ghaziabad,BHUSHAN
CTOLLU00,PB08DG9977,2020-07-16 10:07:45,2020-07-19 07:04:11,SAHIBABAD,BARODA,BHUSHAN
CTSLLU00,HR55V6800,2020-07-08 00:03:46,2020-07-08 00:05:06,SAHIBABAD,Ghaziabad,BHUSHAN
CT3MLU00,HR38Y8193,2020-07-16 15:50:57,2020-07-17 12:36:38,SAHIBABAD,JHAJJAR,BHUSHAN
CT7MLU00,HR55V7133,2020-07-12 03:40:33,2020-07-12 05:55:31,SAHIBABAD,GHAZIABAD,BHUSHAN
CTIMLU00,UP81AF2855,2020-07-16 00:38:27,2020-07-17 05:28:00,SAHIBABAD,SAHARANPUR,BHUSHAN
CTUMLU00,GJ12BW7379,2020-07-17 03:40:06,2020-07-21 13:42:57,SAHIBABAD,Rourkela,BHUSHAN
CTZMLU00,UP17AT3680,2020-07-17 15:54:24,2020-07-21 23:31:00,SAHIBABAD,HOWRAH,BHUSHAN
CT7OLU00,UP21CN5129,2020-07-18 10:23:27,2020-07-19 05:49:56,SAHIBABAD,BHAGWANPUR,BHUSHAN
CTHOLU00,HR38R7507,2020-07-18 03:55:04,2020-07-18 04:20:05,SAHIBABAD,GREATER NOIDA,BHUSHAN
CTJOLU00,UP17AT7562,2020-07-18 03:41:35,2020-07-18 04:15:50,SAHIBABAD,Mundka,BHUSHAN
CTFULU00,HR38T4793,2020-07-08 03:29:58,2020-07-08 07:14:58,SAHIBABAD,JHAJJAR,BHUSHAN
CTLULU00,UP14ET7230,2020-07-16 11:48:18,2020-07-16 14:53:19,SAHIBABAD,BALLABHGARH,BHUSHAN
CTWULU00,UP14ET7231,2020-07-17 22:32:07,2020-07-18 08:32:08,SAHIBABAD,MANESAR,BHUSHAN
CTYYLU00,MH26AD1018,2020-07-18 04:32:44,2020-07-18 09:05:29,KHAPOLI,PUNE (CHAKAN),BHUSHAN
CTB1MU00,UP14HT6159,2020-07-18 07:27:03,2020-07-18 07:41:48,SAHIBABAD,GHAZIABAD,BHUSHAN
CTW2MU00,HR55V4974,2020-07-18 00:59:39,2020-07-18 02:21:19,SAHIBABAD,NEW DELHI,BHUSHAN
CTE3MU00,OD04K3544,2020-07-17 20:11:09,2020-07-23 08:26:24,MERAMANDALI,KOTTAYAM,BHUSHAN
CTO3MU00,NL01K7529,2020-07-18 15:31:49,2020-07-20 11:58:26,MERAMANDALI,PEDDAPURAM,BHUSHAN
CTQ3MU00,NL01AC8299,2020-07-18 00:28:08,2020-07-23 06:54:30,MERAMANDALI,ANJAR,BHUSHAN
CTB6MU00,OD04M0822,2020-07-18 14:11:58,2020-07-22 23:24:10,MERAMANDALI,THIRUVALLUR,BHUSHAN
CT7AMU00,MP09GH6621,2020-07-19 02:45:42,2020-07-20 07:32:49,KHAPOLI,DEWAS (M.P.),BHUSHAN
CTUAMU00,MP09GH6621,2020-07-19 02:45:42,2020-07-20 07:32:49,KHAPOLI,DEWAS (M.P.),BHUSHAN
CT0BMU00,MH43BG8257,2020-07-20 06:56:27,2020-07-20 23:35:54,KHAPOLI,JNP,BHUSHAN
CTEBMU00,RJ04GA8623,2020-07-19 05:46:01,2020-07-20 05:59:08,KHAPOLI,MORBI,BHUSHAN
CT1CMU00,MH43BG8256,2020-07-20 07:32:09,2020-07-21 01:20:50,KHAPOLI,JNP,BHUSHAN
CT3CMU00,RJ04GA8623,2020-07-19 05:46:01,2020-07-20 05:59:08,KHAPOLI,MORBI,BHUSHAN
CTCGMU00,MH46BM2793,2020-07-18 06:22:52,2020-07-18 08:42:03,KHAPOLI,PUNE (CHAKAN),BHUSHAN
CTVGMU00,MH46BM2816,2020-07-18 02:03:29,2020-07-18 08:45:14,KHAPOLI,PUNE (CHAKAN),BHUSHAN
CTRHMU00,UP17AT7564,2020-07-18 06:31:21,2020-07-18 07:06:59,SAHIBABAD,GHAZIABAD,BHUSHAN
CT6IMU00,HR55V1493,2020-07-18 06:47:08,2020-07-18 11:47:07,SAHIBABAD,GURGAON,BHUSHAN
CTFJMU00,RJ39GA2411,2020-07-18 01:36:24,2020-07-27 07:36:11,MERAMANDALI,ANJAR,BHUSHAN
CTHJMU00,RJ19GF9499,2020-07-19 06:08:12,2020-07-24 12:24:18,MERAMANDALI,ANJAR,BHUSHAN
CTIJMU00,RJ19GF9354,2020-07-19 15:25:44,2020-07-24 12:24:33,MERAMANDALI,ANJAR,BHUSHAN
CTIKMU00,RJ14GG2610,2020-07-19 03:56:46,2020-07-19 04:31:45,SAHIBABAD,Delhi,BHUSHAN
CTLKMU00,RJ39GA3321,2020-07-19 20:21:11,2020-07-25 09:53:15,MERAMANDALI,ANJAR,BHUSHAN
CTMKMU00,RJ39GA2859,2020-07-19 05:24:35,2020-07-25 09:52:37,MERAMANDALI,ANJAR,BHUSHAN
CT5LMU00,GJ10TX2793,2020-07-19 02:36:31,2020-07-24 07:23:34,MERAMANDALI,ANJAR,BHUSHAN
CT7LMU00,MH43BG8259,2020-07-20 07:45:26,2020-07-20 23:34:11,KHAPOLI,JNP,BHUSHAN
CT7MMU00,PB12T3536,2020-07-18 08:57:13,2020-07-21 03:09:09,SAHIBABAD,Ludhiana,BHUSHAN
CT8MMU00,HR38S5706,2020-07-18 02:58:46,2020-07-20 09:19:26,SAHIBABAD,Ludhiana,BHUSHAN
CTFSMU00,NL01L1669,2020-07-19 13:13:53,2020-07-23 05:22:53,MERAMANDALI,SECUNDERABAD,BHUSHAN
CTMSMU00,NL01AE1339,2020-07-19 13:06:07,2020-07-23 05:16:10,MERAMANDALI,SECUNDERABAD,BHUSHAN
CT1UMU00,NL01L9469,2020-07-19 02:01:49,2020-07-22 06:24:06,MERAMANDALI,SECUNDERABAD,BHUSHAN
CTN7NU00,OD04M6917,2020-07-19 10:25:48,2020-07-20 06:01:23,MERAMANDALI,PAR,BHUSHAN
CTZ7NU00,OD19P2217,2020-07-19 13:27:36,2020-07-20 06:01:19,MERAMANDALI,PAR,BHUSHAN
CTM8NU00,RJ39GA6555,2020-07-20 01:34:50,2020-07-23 15:26:04,MERAMANDALI,BHACHAU,BHUSHAN
CTGANU00,RJ02GB8360,2020-07-20 03:00:19,2020-07-22 14:48:07,MERAMANDALI,SECUNDERABAD,BHUSHAN
CTHANU00,RJ02GB1995,2020-07-19 22:11:49,2020-07-22 12:17:49,MERAMANDALI,SECUNDERABAD,BHUSHAN
CT1PNU00,RJ04GB5205,2020-07-19 07:37:06,2020-07-20 07:00:06,MERAMANDALI,TEDESARA,BHUSHAN
CT4PNU00,NL01N2417,2020-07-19 06:05:56,2020-07-20 19:58:06,MERAMANDALI,Kolkata,BHUSHAN
CT5PNU00,GJ12AT7946,2020-07-19 12:49:05,2020-07-20 14:50:33,MERAMANDALI,TEDESARA,BHUSHAN
CTLQNU00,RJ02GB4420,2020-07-18 23:55:10,2020-07-25 06:05:45,MERAMANDALI,HARIDWAR,BHUSHAN
CT7RNU00,MH46AR2775,2020-07-20 06:29:09,2020-07-20 08:54:37,KHAPOLI,PUNE (CHAKAN),BHUSHAN
CT8RNU00,MH46AR2775,2020-07-20 06:29:09,2020-07-20 08:54:37,KHAPOLI,PUNE (CHAKAN),BHUSHAN
CT4VNU00,MH26AD1018,2020-07-20 02:14:58,2020-07-20 05:31:21,KHAPOLI,PUNE (CHAKAN),BHUSHAN
CTP0OU00,NL01AE2959,2020-07-19 14:44:57,2020-07-23 13:32:20,MERAMANDALI,BANGALORE,BHUSHAN
CTF1OU00,OD19N9849,2020-07-19 10:39:45,2020-07-19 23:57:38,MERAMANDALI,PAR,BHUSHAN
CTG8OU00,RJ02GB3937,2020-07-19 16:23:28,2020-07-23 01:14:58,MERAMANDALI,SECUNDERABAD,BHUSHAN
CTH8OU00,OD14J4849,2020-07-19 10:33:11,2020-07-19 20:56:12,MERAMANDALI,PAR,BHUSHAN
CTN8OU00,MP09HH6169,2020-07-19 20:50:54,2020-07-21 08:18:10,KHAPOLI,PITHAMPUR,BHUSHAN
CTUCOU00,RJ19GF4898,2020-07-19 17:06:02,2020-07-22 23:51:05,MERAMANDALI,KHOPOLI,BHUSHAN
CTVCOU00,OD19P7049,2020-07-19 13:07:16,2020-07-20 05:20:00,MERAMANDALI,PAR,BHUSHAN
CTJDOU00,NL01AC8259,2020-07-19 07:45:05,2020-07-23 23:35:27,MERAMANDALI,New Delhi,BHUSHAN
CTLDOU00,OD19N9249,2020-07-19 12:59:42,2020-07-19 23:57:59,MERAMANDALI,PAR,BHUSHAN
CTNDOU00,OD19N6349,2020-07-19 21:58:34,2020-07-20 07:04:44,MERAMANDALI,PAR,BHUSHAN
CTPDOU00,OD19N9149,2020-07-19 13:06:54,2020-07-19 23:58:17,MERAMANDALI,PAR,BHUSHAN
