slug,vehicle_no,loading_out_time,unloading_in_time,origin,destination,consigner_code
CT897U00,MH40AK2171,2020-07-12 02:46:22,2020-07-17 12:53:22,KHAPOLI,NAGPUR,BHUSHAN
CTB97U00,UP25CT3452,2020-07-10 21:05:12,2020-07-15 00:57:49,MERAMANDALI,PILKHUWA,BHUSHAN
CTV97U00,RJ19GF2380,2020-07-12 17:22:58,2020-07-13 17:27:34,MERAMANDALI,RAIPUR,BHUSHAN
CTXA7U00,RJ09GC9951,2020-07-12 19:47:27,2020-07-14 06:59:28,MERAMANDALI,RAIPUR,BHUSHAN
CT3B7U00,OD14K5249,2020-07-11 07:03:27,2020-07-11 19:39:24,MERAMANDALI,PAR,BHUSHAN
CTHB7U00,RJ02GB1356,2020-07-10 20:46:51,2020-07-15 00:59:58,MERAMANDALI,PILKHUWA,BHUSHAN
CTDF7U00,UP25CT6182,2020-07-12 08:01:03,2020-07-13 10:06:12,MERAMANDALI,HOOGHLY,BHUSHAN
CTFG7U00,MH46AR2775,2020-07-11 14:55:38,2020-07-12 07:56:10,KHAPOLI,PUNE PIMPRI,BHUSHAN
CTIL7U00,HR38AA0593,2020-07-10 23:18:16,2020-07-11 10:23:18,SAHIBABAD,GURGAON,BHUSHAN
CTTN7U00,HR38U0859,2020-07-11 07:10:16,2020-07-13 05:50:36,SAHIBABAD,Kanpur,BHUSHAN
CTYN7U00,CG07CA5236,2020-07-11 23:38:01,2020-07-13 06:23:03,MERAMANDALI,RAIPUR,BHUSHAN
CTZN7U00,UP81AF2855,2020-07-11 00:55:52,2020-07-11 10:58:23,SAHIBABAD,SAHARANPUR,BHUSHAN
CTBP7U00,HR38U1827,2020-07-11 13:08:11,2020-07-13 07:11:23,SAHIBABAD,KANPUR,BHUSHAN
CTHP7U00,OD19N9249,2020-07-11 16:44:08,2020-07-12 06:29:51,MERAMANDALI,PAR,BHUSHAN
CTIP7U00,OD19P2549,2020-07-11 16:37:05,2020-07-12 06:43:58,MERAMANDALI,PAR,BHUSHAN
CT5R7U00,CG04MX7811,2020-07-11 17:12:00,2020-07-12 18:50:19,MERAMANDALI,RAIPUR,BHUSHAN
CTA18U00,RJ39GA4520,2020-07-12 19:47:03,2020-07-14 06:36:15,MERAMANDALI,RAIPUR,BHUSHAN
CTA48U00,GJ12AU7587,2020-07-12 16:34:13,2020-07-14 01:33:05,MERAMANDALI,RAIPUR,BHUSHAN
CTLB8U00,CG07BB2957,2020-07-12 17:34:42,2020-07-15 11:50:42,MERAMANDALI,BAHARAMPUR,BHUSHAN
CTKD8U00,CG04MN9421,2020-07-12 10:56:59,2020-07-13 19:49:53,MERAMANDALI,RAIPUR,BHUSHAN
CTNE8U00,NL01AD0779,2020-07-12 17:20:50,2020-07-17 12:48:33,MERAMANDALI,COIMBATORE,BHUSHAN
CTNT8U00,OD19N8949,2020-07-11 19:52:42,2020-07-12 06:29:46,MERAMANDALI,PAR,BHUSHAN
CT3W8U00,HR38R1152,2020-07-11 23:33:09,2020-07-11 23:56:41,SAHIBABAD,Delhi,BHUSHAN
CT5W8U00,HR55L7860,2020-07-11 23:04:59,2020-07-11 23:56:40,SAHIBABAD,Delhi,BHUSHAN
CTBW8U00,HR38X7487,2020-07-11 13:27:26,2020-07-13 08:27:36,SAHIBABAD,Ludhiana,BHUSHAN
CTCW8U00,CG07BW0553,2020-07-13 20:04:08,2020-07-15 07:10:36,MERAMANDALI,HALDIA,BHUSHAN
CTEW8U00,HR38W1523,2020-07-11 23:23:15,2020-07-13 07:07:54,SAHIBABAD,NALAGARH,BHUSHAN
CTGW8U00,UP17AT7562,2020-07-11 21:27:59,2020-07-11 23:47:44,SAHIBABAD,Delhi,BHUSHAN
CTZ29U00,UP25CT3735,2020-07-12 04:37:26,2020-07-17 00:45:17,MERAMANDALI,GUWAHATI,BHUSHAN
CTH39U00,UP25CT5484,2020-07-12 07:46:54,2020-07-17 00:44:32,MERAMANDALI,GUWAHATI,BHUSHAN
CTY39U00,UP25CT5125,2020-07-12 07:35:49,2020-07-17 00:44:45,MERAMANDALI,GUWAHATI,BHUSHAN
CTD49U00,RJ04GB1772,2020-07-13 11:27:07,2020-07-15 05:06:44,MERAMANDALI,NAGPUR,BHUSHAN
CTL79U00,MH46BM0637,2020-07-13 14:34:58,2020-07-14 03:32:11,KHAPOLI,MURBAD,BHUSHAN
CTM79U00,NL01L5979,2020-07-13 15:09:45,2020-07-17 18:24:50,MERAMANDALI,THIRUVALLUR,BHUSHAN
CTV99U00,PB02DP4309,2020-07-13 00:05:59,2020-07-18 02:02:43,MERAMANDALI,GUWAHATI,BHUSHAN
CTGM9U00,MH06AC8266,2020-07-13 00:58:55,2020-07-14 19:55:25,KHAPOLI,JNP,BHUSHAN
CT2N9U00,OD19N9149,2020-07-11 20:09:50,2020-07-12 04:25:49,MERAMANDALI,PAR,BHUSHAN
CT4N9U00,RJ39GA2277,2020-07-12 14:38:59,2020-07-13 09:24:55,MERAMANDALI,RAIPUR,BHUSHAN
CTUN9U00,NL01L1559,2020-07-12 05:05:34,2020-07-17 13:10:04,MERAMANDALI,BANGALORE,BHUSHAN
CTOP9U00,NL01K7260,2020-07-13 13:39:23,2020-07-14 15:11:57,KHAPOLI,JNP,BHUSHAN
CTUU9U00,MH06AC9684,2020-07-14 21:30:07,2020-07-16 03:33:56,KHAPOLI,JNP,BHUSHAN
CTHV9U00,MH15BJ4686,2020-07-13 21:54:08,2020-07-14 11:57:00,KHAPOLI,JNP,BHUSHAN
CTZV9U00,NL01AB2179,2020-07-12 18:09:42,2020-07-18 07:49:19,MERAMANDALI,KOTTAYAM,BHUSHAN
CTGW9U00,RJ02GB1939,2020-07-13 23:21:41,2020-07-20 01:02:22,MERAMANDALI,LUDHIANA,BHUSHAN
CTXW9U00,OD04P2334,2020-07-13 09:14:26,2020-07-18 07:16:11,MERAMANDALI,"PULLUVAZHY, ERNAKULAM",BHUSHAN
CT6X9U00,OD14C4849,2020-07-13 08:03:03,2020-07-13 13:59:31,MERAMANDALI,GOPINATHPUR-CUTTACK,BHUSHAN
CT60AU00,MH43BG8260,2020-07-14 06:22:16,2020-07-15 02:55:03,KHAPOLI,JNP,BHUSHAN
CT70AU00,MH43BG8259,2020-07-14 05:55:48,2020-07-15 02:49:16,KHAPOLI,JNP,BHUSHAN
CT80AU00,MH43BG8256,2020-07-14 06:16:56,2020-07-15 03:00:03,KHAPOLI,JNP,BHUSHAN
CTD1AU00,MH43BG8257,2020-07-13 16:05:40,2020-07-15 02:51:33,KHAPOLI,JNP,BHUSHAN
CT06AU00,UP25CT5484,2020-07-12 07:46:54,2020-07-17 00:44:32,MERAMANDALI,GUWAHATI,BHUSHAN
CTMCAU00,MH46AR7140,2020-07-13 17:19:55,2020-07-14 11:32:52,KHAPOLI,"WALUJ,AURANGABAD",BHUSHAN
CT5DAU00,OD33T3549,2020-07-13 08:09:37,2020-07-13 14:14:33,MERAMANDALI,GOPINATHPUR-CUTTACK,BHUSHAN
CTEFAU00,MH06AQ4796,2020-07-14 03:32:11,2020-07-16 01:26:54,KHAPOLI,JNP,BHUSHAN
CTFGAU00,MH40BG7090,2020-07-13 16:27:09,2020-07-16 10:07:58,KHAPOLI,Atmakur,BHUSHAN
CTAZAU00,MH06AC8263,2020-07-12 22:16:53,2020-07-14 12:20:16,KHAPOLI,JNP,BHUSHAN
CT40BU00,MH46AR2775,2020-07-13 19:47:41,2020-07-14 08:19:28,KHAPOLI,PUNE,BHUSHAN
CT11BU00,MH06AC9685,2020-07-13 22:27:20,2020-07-14 12:16:42,KHAPOLI,JNP,BHUSHAN
CTQABU00,MH43BP6624,2020-07-13 03:59:33,2020-07-20 16:08:51,MERAMANDALI,BHACHAU,BHUSHAN
CTSSBU00,HR38S5706,2020-07-13 22:20:47,2020-07-15 05:11:19,SAHIBABAD,Ludhiana,BHUSHAN
CT14CU00,UP21CN5129,2020-07-13 23:33:10,2020-07-14 01:18:23,SAHIBABAD,NOIDA,BHUSHAN
CTB4CU00,MH46BM2775,2020-07-13 17:09:31,2020-07-14 11:25:31,KHAPOLI,PUNE,BHUSHAN
